scenario_id,scenario_type,target_name,target_col,model_name,forecast_origin,horizon,target_mae,target_rmse,target_smape,raw_capacity_mae,raw_capacity_rmse,raw_capacity_smape,includes_eol,true_eol_cycle,true_rul
pre_02_o292_h20,pre_eol_rolling,capacity_raw,capacity_raw,MovingAverage,292,20,0.005510883727609106,0.006676087335795257,0.0056183740811278655,0.005510883727609106,0.006676087335795257,0.0056183740811278655,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_raw,capacity_raw,RidgeRegression,292,20,0.005945073887054569,0.00768774479381373,0.006059106895007578,0.005945073887054569,0.00768774479381373,0.006059106895007578,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_raw,capacity_raw,RandomForestRegressor,292,20,0.005319439851067809,0.006760486203468279,0.005423873104477613,0.005319439851067809,0.006760486203468279,0.005423873104477613,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,Persistence,292,20,0.0026467363270571975,0.003193254585790227,0.0026967438829573536,0.005433110738292346,0.006351968010396609,0.005539317842248525,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,MovingAverage,292,20,0.006510880458373591,0.00687084892664421,0.006617661120577061,0.006978807950775279,0.008798458370857435,0.00710658263660615,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RidgeRegression,292,20,0.0056218428716306446,0.006047717315580303,0.0057169617680743745,0.006297747972424139,0.008185137404600383,0.0064166130393033555,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_ewm_span_9,capacity_ewm_span_9,RandomForestRegressor,292,20,0.006919363445308297,0.007266459180514904,0.007031160580910932,0.007221602692791535,0.009074974744026498,0.007352362173668671,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,Persistence,292,20,0.0027427857487827166,0.0031758416826279685,0.0028012614118078927,0.005486160934931683,0.00603157028322811,0.00559361149231633,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,MovingAverage,292,20,0.0053942835769059784,0.005631704927729902,0.005502918660047819,0.005411880211598774,0.006277339145004083,0.005517725846670257,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RidgeRegression,292,20,0.010849843738431736,0.011231210051064259,0.011034429365992035,0.008472032321684236,0.010067658642694568,0.008617196820107465,False,546,254
pre_02_o292_h20,pre_eol_rolling,capacity_roll_median_7,capacity_roll_median_7,RandomForestRegressor,292,20,0.004864838654960157,0.005063749770219219,0.00496418855812247,0.005369684212615788,0.00608649717843061,0.005474798390139432,False,546,254
